"pID","wID","AOI","Response","Acc1_3vs4_6","Acc1_3vs6","Acc1_2vs5_6","Acc1_4vs6","RecTask","AOIviewed","RecTaskLab","TotalGazeDuration","NormalizedGazeDuration","AverageGazeDuration","MaximumGazeDuration","MinimumGazeDuration","GazeCount","TimeToFirstFixation","GazedAtBy","AOITransitionRate","FixationCount","SaccadeCount","GazePointValidity","AverageFixationDuration","AverageSaccadeDuration","AverageSaccadeLength","FixationRate","FixationSaccadeTimeRatio","ScanPathLength","ScanPathDuration","ScanPathArea","MeanPupilDilation","PWID","RT","Condition"
1,7,"LM001","5","Scored>=4",NA,"Scored>=5",NA,"After",1,"LM001",288.139,0.000238658,57.6278,188.034,3.984,5,1128535.916,1,0.571508069,0,0,1,0,0,0,0,0,0,0,Inf,0,"PW_1_7",1.126526,"LM"
1,5,"LM001","5","Scored>=4",NA,"Scored>=5",NA,"Before",1,"LM001",286.082,0.000263731,71.5205,119.916,20.026,4,82902.7,1,0.793733280863477,0,0,1,0,0,0,0,0,0,0,Inf,0,"PW_1_5",1.126526,"LM"
1,2,"LM001","5","Scored>=4",NA,"Scored>=5",NA,"Before",1,"LM001",127.893,8.74735671394978e-05,25.5786,48.016,7.841,5,394996.009,1,1.11827294905178,0,0,1,0,0,0,0,0,0,0,Inf,0,"PW_1_2",1.126526,"LM"
1,3,"LM001","5","Scored>=4",NA,"Scored>=5",NA,"Before",1,"LM001",219.838,0.000185475,54.9595,83.876,4.077,4,151035.871,1,1.4114950824798,0,0,1,0,0,0,0,0,0,0,Inf,0,"PW_1_3",1.126526,"LM"
1,4,"LM001","5","Scored>=4",NA,"Scored>=5",NA,"Before",1,"LM001",136.009,0.000116698,136.009,136.009,136.009,1,108052.031,1,0.689844541782158,0,0,1,0,0,0,0,0,0,0,Inf,0,"PW_1_4",1.126526,"LM"
1,6,"LM001","5","Scored>=4",NA,"Scored>=5",NA,"After",1,"LM001",91.958,7.9e-05,30.6527,43.995,16.009,3,80800.04,1,0.749574831,0,0,1,0,0,0,0,0,0,0,Inf,0,"PW_1_6",1.126526,"LM"
1,1,"LM001","5","Scored>=4",NA,"Scored>=5",NA,"Before",0,"LM001",0,0,0,0,0,0,NA,0,1.435756371,0,0,0,0,0,0,0,0,0,0,Inf,0,"PW_1_1",1.126526,"LM"
1,5,"LM002","2","Scored<=3","Scored<=3","Scored<=2","Scored<=4","Before",1,"LM002",468.004,0.000431441,156.0013,408.002,16.017,3,105471.266,1,0.793733280863477,2,1,1,164,20,37.8106401559138,5.73149657972942,16.457051378258,37.8106401559138,348.949,460.18751,0,"PW_1_5",5.467003,"LM"
1,2,"LM002","2","Scored<=3","Scored<=3","Scored<=2","Scored<=4","Before",1,"LM002",472.04,0.000322856,94.408,235.932,32.377,5,412636.037,1,1.11827294905178,0,0,1,0,0,0,0,0,0,0,Inf,0,"PW_1_2",5.467003,"LM"
1,4,"LM002","2","Scored<=3","Scored<=3","Scored<=2","Scored<=4","Before",1,"LM002",59.935,5.14251649399423e-05,11.987,20.002,3.861,5,133252.023,1,0.689844541782158,0,0,1,0,0,0,0,0,0,0,Inf,0,"PW_1_4",5.467003,"LM"
